Country,1990,2008,2025
China,1141,1333,1458
India,849,1140,1398
United States,250,304,352
Indonesia,178,228,273
Brazil,150,192,223
Pakistan,108,166,226
Bangladesh,116,160,198
Nigeria,94,151,208
Russia,149,143,137
Japan,124,128,126
